Format version	Start date	End date	Recipient	Aggregator	Disclaimer
1	10/01/12	10/31/12	The Recording Consort	The Recording Consort	Confidential
Country	Label	Product	Currency	Total tracks	Rightholder's tracks	Pro rata share	Revenue share	Subscriber number	Net revenue	Payable	EUR Payable	USD Payable
ES	Anima e Corpo Musica	P	EUR	114041835	452	0.00	60	148683	1013654.6310	1.3560	1.3560	1.7571
ES	Cantus Records	P	EUR	114041835	253	0.00	60	148683	1013654.6310	0.7590	0.7590	0.9835
ES	iTinerant Classics	P	EUR	114041835	76	0.00	60	148683	1013654.6310	0.2280	0.2280	0.2954
ES	Quindecim Recordings	P	EUR	114041835	98	0.00	60	148683	1013654.6310	0.2940	0.2940	0.3810
ES	Raúl Monge	P	EUR	114041835	1	0.00	60	148683	1013654.6310	0.0030	0.0030	0.0039
ES	San Antonio Records	P	EUR	114041835	34	0.00	60	148683	1013654.6310	0.1020	0.1020	0.1322
ES	Tlen Huicani	P	EUR	114041835	9	0.00	60	148683	1013654.6310	0.0270	0.0270	0.0350
ES	Videophonic	P	EUR	114041835	143	0.00	60	148683	1013654.6310	0.4290	0.4290	0.5559
ES	Alqhai & Alqhai	T	EUR	4046103	1	0.00	0	10584	73099.3200	0.0129	0.0129	0.0167
ES	Anima e Corpo Musica	T	EUR	4046103	1	0.00	0	10584	73099.3200	0.0129	0.0129	0.0167
ES	iTinerant Classics	T	EUR	4046103	1	0.00	0	10584	73099.3200	0.0129	0.0129	0.0167
ES	Quindecim Recordings	T	EUR	4046103	5	0.00	0	10584	73099.3200	0.0643	0.0643	0.0834
ES	Tlen Huicani	T	EUR	4046103	1	0.00	0	10584	73099.3200	0.0129	0.0129	0.0167
ES	Videophonic	T	EUR	4046103	13	0.00	0	10584	73099.3200	0.1673	0.1673	0.2168
FI	Cantus Records	U	EUR	15730416	5	0.00	60	28286	97541.8180	0.0186	0.0186	0.0241
FI	Quindecim Recordings	U	EUR	15730416	7	0.00	60	28286	97541.8180	0.0260	0.0260	0.0337
FI	Videophonic	U	EUR	15730416	1	0.00	60	28286	97541.8180	0.0037	0.0037	0.0048
FI	Alqhai & Alqhai	A	EUR	50272089	1	0.00	60	197517	100280.2632	0.0012	0.0012	0.0016
FI	Cantus Records	A	EUR	50272089	18	0.00	60	197517	100280.2632	0.0215	0.0215	0.0279
FI	iTinerant Classics	A	EUR	50272089	1	0.00	60	197517	100280.2632	0.0012	0.0012	0.0016
FI	Quindecim Recordings	A	EUR	50272089	1	0.00	60	197517	100280.2632	0.0012	0.0012	0.0016
FI	Videophonic	A	EUR	50272089	41	0.00	60	197517	100280.2632	0.0491	0.0491	0.0636
FI	Alqhai & Alqhai	P	EUR	66315442	9	0.00	60	139593	917324.5220	0.0818	0.0818	0.1060
FI	Cantus Records	P	EUR	66315442	1	0.00	60	139593	917324.5220	0.0091	0.0091	0.0118
FI	iTinerant Classics	P	EUR	66315442	3	0.00	60	139593	917324.5220	0.0273	0.0273	0.0353
FI	Quindecim Recordings	P	EUR	66315442	3	0.00	60	139593	917324.5220	0.0273	0.0273	0.0353
FI	Videophonic	P	EUR	66315442	16	0.00	60	139593	917324.5220	0.1455	0.1455	0.1885
FR	Cantus Records	U	EUR	11031857	29	0.00	60	17057	60492.1710	0.0954	0.0954	0.1236
FR	Quindecim Recordings	U	EUR	11031857	3	0.00	60	17057	60492.1710	0.0099	0.0099	0.0128
FR	Sergio Franqueira	U	EUR	11031857	2	0.00	60	17057	60492.1710	0.0066	0.0066	0.0085
FR	Videophonic	U	EUR	11031857	18	0.00	60	17057	60492.1710	0.0592	0.0592	0.0767
FR	Alqhai & Alqhai	A	EUR	67747724	21	0.00	60	285763	161577.1996	0.0301	0.0301	0.0389
FR	Anima e Corpo Musica	A	EUR	67747724	7	0.00	60	285763	161577.1996	0.0100	0.0100	0.0130
FR	Cantus Records	A	EUR	67747724	99	0.00	60	285763	161577.1996	0.1417	0.1417	0.1836
FR	iTinerant Classics	A	EUR	67747724	1	0.00	60	285763	161577.1996	0.0014	0.0014	0.0019
FR	Quindecim Recordings	A	EUR	67747724	36	0.00	60	285763	161577.1996	0.0515	0.0515	0.0668
FR	Videophonic	A	EUR	67747724	18	0.00	60	285763	161577.1996	0.0258	0.0258	0.0334
FR	Alqhai & Alqhai	P	EUR	49996387	5	0.00	60	75500	521699.2895	0.0326	0.0326	0.0423
FR	Cantus Records	P	EUR	49996387	187	0.00	60	75500	521699.2895	1.2199	1.2199	1.5807
FR	Quindecim Recordings	P	EUR	49996387	30	0.00	60	75500	521699.2895	0.1957	0.1957	0.2536
FR	Videophonic	P	EUR	49996387	7	0.00	60	75500	521699.2895	0.0457	0.0457	0.0592
GB	Cantus Records	U	GBP	58985907	405	0.00	60	115793	408201.5033	1.6816	2.0908	2.7093
GB	iTinerant Classics	U	GBP	58985907	2	0.00	60	115793	408201.5033	0.0083	0.0103	0.0134
GB	San Antonio Records	U	GBP	58985907	2	0.00	60	115793	408201.5033	0.0083	0.0103	0.0134
GB	Tlen Huicani	U	GBP	58985907	2	0.00	60	115793	408201.5033	0.0083	0.0103	0.0134
GB	Videophonic	U	GBP	58985907	12	0.00	60	115793	408201.5033	0.0498	0.0619	0.0803
GB	Quindecim Recordings	PD	GBP	10338261	1	0.00	60	15939	56195.1593	0.0033	0.0041	0.0054
GB	Cantus Records	A	GBP	143273213	51	0.00	60	739241	721898.8772	0.1542	0.1917	0.2484
GB	iTinerant Classics	A	GBP	143273213	19	0.00	60	739241	721898.8772	0.0574	0.0714	0.0925
GB	Quindecim Recordings	A	GBP	143273213	4	0.00	60	739241	721898.8772	0.0121	0.0150	0.0195
GB	Tlen Huicani	A	GBP	143273213	1	0.00	60	739241	721898.8772	0.0030	0.0038	0.0049
GB	Videophonic	A	GBP	143273213	8	0.00	60	739241	721898.8772	0.0242	0.0301	0.0390
GB	Cantus Records	P	GBP	197496585	183	0.00	60	356482	2422372.8111	1.4270	1.7741	2.2990
GB	iTinerant Classics	P	GBP	197496585	10	0.00	60	356482	2422372.8111	0.0780	0.0969	0.1256
GB	Quindecim Recordings	P	GBP	197496585	1	0.00	60	356482	2422372.8111	0.0078	0.0097	0.0126
GB	San Antonio Records	P	GBP	197496585	6	0.00	60	356482	2422372.8111	0.0468	0.0582	0.0754
GB	Tlen Huicani	P	GBP	197496585	3	0.00	60	356482	2422372.8111	0.0234	0.0291	0.0377
GB	Videophonic	P	GBP	197496585	5	0.00	60	356482	2422372.8111	0.0390	0.0485	0.0628
NL	Cantus Records	U	EUR	14446535	18	0.00	60	24387	85487.5430	0.0639	0.0639	0.0828
NL	Quindecim Recordings	U	EUR	14446535	34	0.00	60	24387	85487.5430	0.1207	0.1207	0.1564
NL	Videophonic	U	EUR	14446535	2	0.00	60	24387	85487.5430	0.0071	0.0071	0.0092
NL	Alqhai & Alqhai	A	EUR	80144036	7	0.00	60	290119	156045.1024	0.0082	0.0082	0.0106
NL	Anima e Corpo Musica	A	EUR	80144036	1	0.00	60	290119	156045.1024	0.0012	0.0012	0.0015
NL	Cantus Records	A	EUR	80144036	38	0.00	60	290119	156045.1024	0.0444	0.0444	0.0575
NL	iTinerant Classics	A	EUR	80144036	4	0.00	60	290119	156045.1024	0.0047	0.0047	0.0061
NL	Quindecim Recordings	A	EUR	80144036	7	0.00	60	290119	156045.1024	0.0082	0.0082	0.0106
NL	Sergio Franqueira	A	EUR	80144036	1	0.00	60	290119	156045.1024	0.0012	0.0012	0.0015
NL	Tlen Huicani	A	EUR	80144036	1	0.00	60	290119	156045.1024	0.0012	0.0012	0.0015
NL	Videophonic	A	EUR	80144036	63	0.00	60	290119	156045.1024	0.0736	0.0736	0.0954
NL	Anima e Corpo Musica	KHB	EUR	20700321	1	0.00	0	96966	478266.9000	0.0130	0.0130	0.0169
NL	Cantus Records	KHB	EUR	20700321	7	0.00	0	96966	478266.9000	0.0912	0.0912	0.1181
NL	Cantus Records	KSB	EUR	24035951	8	0.00	0	89931	498236.2600	0.0976	0.0976	0.1264
NL	Quindecim Recordings	KSB	EUR	24035951	3	0.00	0	89931	498236.2600	0.0366	0.0366	0.0474
NL	Alqhai & Alqhai	P	EUR	69860806	3	0.00	60	114104	754509.6740	0.0212	0.0212	0.0274
NL	Anima e Corpo Musica	P	EUR	69860806	1	0.00	60	114104	754509.6740	0.0071	0.0071	0.0091
NL	Cantus Records	P	EUR	69860806	93	0.00	60	114104	754509.6740	0.6562	0.6562	0.8503
NL	iTinerant Classics	P	EUR	69860806	1	0.00	60	114104	754509.6740	0.0071	0.0071	0.0091
NL	Quindecim Recordings	P	EUR	69860806	3	0.00	60	114104	754509.6740	0.0212	0.0212	0.0274
NL	Tlen Huicani	P	EUR	69860806	1	0.00	60	114104	754509.6740	0.0071	0.0071	0.0091
NL	Videophonic	P	EUR	69860806	16	0.00	60	114104	754509.6740	0.1129	0.1129	0.1463
NO	Cantus Records	U	EUR	20531917	4	0.00	60	40954	184194.7705	0.0215	0.0215	0.0279
NO	Quindecim Recordings	U	EUR	20531917	11	0.00	60	40954	184194.7705	0.0592	0.0592	0.0767
NO	Videophonic	U	EUR	20531917	1	0.00	60	40954	184194.7705	0.0054	0.0054	0.0070
NO	Cantus Records	A	EUR	65437009	2	0.00	60	250481	301256.1171	0.0055	0.0055	0.0072
NO	iTinerant Classics	A	EUR	65437009	2	0.00	60	250481	301256.1171	0.0055	0.0055	0.0072
NO	Quindecim Recordings	A	EUR	65437009	1	0.00	60	250481	301256.1171	0.0028	0.0028	0.0036
NO	Videophonic	A	EUR	65437009	1	0.00	60	250481	301256.1171	0.0028	0.0028	0.0036
NO	Alqhai & Alqhai	P	EUR	266204566	2	0.00	60	433609	3798154.6455	0.0171	0.0171	0.0222
NO	Cantus Records	P	EUR	266204566	9	0.00	60	433609	3798154.6455	0.0770	0.0770	0.0998
NO	iTinerant Classics	P	EUR	266204566	1	0.00	60	433609	3798154.6455	0.0086	0.0086	0.0111
NO	Quindecim Recordings	P	EUR	266204566	28	0.00	60	433609	3798154.6455	0.2397	0.2397	0.3106
NO	Videophonic	P	EUR	266204566	29	0.00	60	433609	3798154.6455	0.2483	0.2483	0.3217
NZ	Alqhai & Alqhai	A	USD	12368733	13	0.00	60	36367	40762.5992	0.0257	0.0198	0.0257
NZ	Videophonic	A	USD	12368733	1	0.00	60	36367	40762.5992	0.0020	0.0015	0.0020
NZ	Cantus Records	P	USD	6295965	8	0.00	60	10617	95898.8435	0.0731	0.0564	0.0731
SE	Cantus Records	U	EUR	62733462	55	0.00	60	103930	401880.9180	0.2114	0.2114	0.2739
SE	Quindecim Recordings	U	EUR	62733462	4	0.00	60	103930	401880.9180	0.0154	0.0154	0.0199
SE	Videophonic	U	EUR	62733462	26	0.00	60	103930	401880.9180	0.0999	0.0999	0.1295
SE	Alqhai & Alqhai	A	EUR	138853784	10	0.00	60	510717	436252.3103	0.0189	0.0189	0.0244
SE	Cantus Records	A	EUR	138853784	29	0.00	60	510717	436252.3103	0.0547	0.0547	0.0708
SE	Quindecim Recordings	A	EUR	138853784	2	0.00	60	510717	436252.3103	0.0038	0.0038	0.0049
SE	Tlen Huicani	A	EUR	138853784	1	0.00	60	510717	436252.3103	0.0019	0.0019	0.0024
SE	Videophonic	A	EUR	138853784	8	0.00	60	510717	436252.3103	0.0151	0.0151	0.0195
SE	Alqhai & Alqhai	P	EUR	724581871	18	0.00	60	1060745	7577589.1205	0.1138	0.1138	0.1475
SE	Anima e Corpo Musica	P	EUR	724581871	3	0.00	60	1060745	7577589.1205	0.0190	0.0190	0.0246
SE	Cantus Records	P	EUR	724581871	257	0.00	60	1060745	7577589.1205	1.6253	1.6253	2.1060
SE	iTinerant Classics	P	EUR	724581871	3	0.00	60	1060745	7577589.1205	0.0190	0.0190	0.0246
SE	Quindecim Recordings	P	EUR	724581871	30	0.00	60	1060745	7577589.1205	0.1897	0.1897	0.2458
SE	Videophonic	P	EUR	724581871	131	0.00	60	1060745	7577589.1205	0.8285	0.8285	1.0735
SE	Alqhai & Alqhai	T	EUR	97457902	131	0.00	0	241798	784347.8300	0.7264	0.7264	0.9413
SE	Quindecim Recordings	T	EUR	97457902	6	0.00	0	241798	784347.8300	0.0333	0.0333	0.0431
US	Cantus Records	U	USD	24698702	46	0.00	60	49284	208758.2856	0.2333	0.1800	0.2333
US	iTinerant Classics	U	USD	24698702	1	0.00	60	49284	208758.2856	0.0051	0.0039	0.0051
US	Quindecim Recordings	U	USD	24698702	18	0.00	60	49284	208758.2856	0.0913	0.0704	0.0913
US	Tlen Huicani	U	USD	24698702	1	0.00	60	49284	208758.2856	0.0051	0.0039	0.0051
US	Videophonic	U	USD	24698702	80	0.00	60	49284	208758.2856	0.4057	0.3131	0.4057
US	Alqhai & Alqhai	A	USD	1148431029	1	0.00	60	2974522	1996310.3468	0.0010	0.0008	0.0010
US	Cantus Records	A	USD	1148431029	383	0.00	60	2974522	1996310.3468	0.3995	0.3083	0.3995
US	iTinerant Classics	A	USD	1148431029	27	0.00	60	2974522	1996310.3468	0.0282	0.0217	0.0282
US	Quindecim Recordings	A	USD	1148431029	202	0.00	60	2974522	1996310.3468	0.2107	0.1626	0.2107
US	Raúl Monge	A	USD	1148431029	1	0.00	60	2974522	1996310.3468	0.0010	0.0008	0.0010
US	Tlen Huicani	A	USD	1148431029	401	0.00	60	2974522	1996310.3468	0.4182	0.3228	0.4182
US	Videophonic	A	USD	1148431029	667	0.00	60	2974522	1996310.3468	0.6957	0.5369	0.6957
US	Alqhai & Alqhai	P	USD	640153667	4	0.00	60	966402	8091594.8331	0.0303	0.0234	0.0303
US	Anima e Corpo Musica	P	USD	640153667	1	0.00	60	966402	8091594.8331	0.0076	0.0059	0.0076
US	Cantus Records	P	USD	640153667	416	0.00	60	966402	8091594.8331	3.1550	2.4347	3.1550
US	iTinerant Classics	P	USD	640153667	9	0.00	60	966402	8091594.8331	0.0683	0.0527	0.0683
US	Quindecim Recordings	P	USD	640153667	82	0.00	60	966402	8091594.8331	0.6219	0.4799	0.6219
US	Raúl Monge	P	USD	640153667	2	0.00	60	966402	8091594.8331	0.0152	0.0117	0.0152
US	San Antonio Records	P	USD	640153667	3	0.00	60	966402	8091594.8331	0.0228	0.0176	0.0228
US	Tlen Huicani	P	USD	640153667	121	0.00	60	966402	8091594.8331	0.9177	0.7082	0.9177
US	Videophonic	P	USD	640153667	181	0.00	60	966402	8091594.8331	1.3727	1.0593	1.3727
