Format version	Start date	End date	Sender	Recipient	Aggregator	Disclaimer
1	10/01/12	10/31/12	Spotify	The Recording Consort	The Recording Consort	Confidential
Country	Label	Product	URI	UPC	EAN	ISRC	Track name	Artist name	Composer name	Album name	Quantity	USD Payable
ES	Videophonic	A	spotify:track:0LsMvRrSkcmtTcn4mwThv2		7502258850497	MX2831000970	Los Tres Golpes	Cuarteto de Saxofones de México	N/A	Mangüe	28	0.1088440868865647626709573612
FR	Videophonic	P	spotify:track:0LsMvRrSkcmtTcn4mwThv2		7502258850497	MX2831000970	Los Tres Golpes	Cuarteto de Saxofones de México	N/A	Mangüe	1	0.008453275109170305676855895197
US	Videophonic	A	spotify:track:0LsMvRrSkcmtTcn4mwThv2		7502258850497	MX2831000970	Los Tres Golpes	Cuarteto de Saxofones de México	N/A	Mangüe	5	0.005214922711058263971462544590
ES	Quindecim Recordings	U	spotify:track:1EsKqodfpfAmRLgOX4n2aq		7509708990314	MX2831200536	Danse (Tarantelle Styrienne)	Gustavo Rivero Weber, Claude Debussy	N/A	Piano Encores	1	0.003887350054525627044711014177
US	Tlen Huicani	A	spotify:track:1LXjkdGd9S7dQU2uR80GCa		7502258850398	MX2831000843	El Rey de la Huasteca	Tlen Huicani, José Hernández	N/A	De México a Paraguay	8	0.008343876337693222354340071344
US	Tlen Huicani	P	spotify:track:1LXjkdGd9S7dQU2uR80GCa		7502258850398	MX2831000843	El Rey de la Huasteca	Tlen Huicani, José Hernández	N/A	De México a Paraguay	2	0.01516849816849816849816849817
ES	Quindecim Recordings	U	spotify:track:1NDFZeDMN5O5LzxhYICfjx		7509708970194	MX2831201569	Tema Mexicano Variado	Gustavo Rivero Weber, Manuel Maria Ponce	N/A	Música Mexicana para Piano Vol. 3	1	0.003887350054525627044711014177
ES	Quindecim Recordings	P	spotify:track:1NDFZeDMN5O5LzxhYICfjx		7509708970194	MX2831201569	Tema Mexicano Variado	Gustavo Rivero Weber, Manuel Maria Ponce	N/A	Música Mexicana para Piano Vol. 3	1	0.003887424633936261843238587425
US	Videophonic	A	spotify:track:2LjD7OYaS3rDe0501jgJ0e		7502258850459	MX2831000898	Quatuor pour saxophones: II. Doloroso	Cuarteto de Saxofones de México, Pierre Max Dubois	N/A	Portales de Madrugada	4	0.004171938168846611177170035672
DE	Cantus Records	U	spotify:track:3aDtAf501Unm1hF4whOVLb		7502258850794	MX2831201424	Sonata a 3 in Fa Minore Op.8, No.9: Andante	Ensemble Il Profondo, Johannes Keller, Flavio Ferri-Benedetti, Pietro Antonio Locatelli	N/A	Passo di Pena in Pena: Cantate Italiane	1	0.003890909090909090909090909091
ES	Videophonic	A	spotify:track:3lahnrM6fqJTfezFPv8nNQ		7502258850596	MX2831001129	Op. 3 para piano solo: No. 2, Oh! Día de Luna	Alejandro Corona, Alejandro Corona	N/A	Pegaso	1	0.003887288817377312952534191472
ES	Cantus Records	P	spotify:track:45o4V012OP4lbp5ZGE9amd		7502258850183	MX2831000397	Sono liete: Sono liete	Claudio Cavina, Rossana Bertini, Rossana Bertini, La Venexiana, La Venexiana, George Frideric Handel	N/A	George Frideric Handel: The 10 Duetti Italiani	1	0.003887424633936261843238587425
ES	Cantus Records	A	spotify:track:45o4V012OP4lbp5ZGE9amd		7502258850183	MX2831000397	Sono liete: Sono liete	Claudio Cavina, Rossana Bertini, Rossana Bertini, La Venexiana, La Venexiana, George Frideric Handel	N/A	George Frideric Handel: The 10 Duetti Italiani	1	0.003887288817377312952534191472
