video_id,custom_id,isrc,grid,day,country,content_type,content_policy,embed_views,watch_views,youtube_sold_revenue,partner_sold_revenue,afv_revenue,amount_payable
0Edwb69HRv0,,,,20120609,ES,commercial,share,0,1,0.00135,0,0,0.000546
0Edwb69HRv0,,,,20120612,ES,commercial,share,0,0,0.010583,0,0,0.004285
2YW0Q5glttY,,,,20120601,ES,commercial,share,0,1,0.00155,0,0,0.000627
2YW0Q5glttY,,,,20120602,ES,commercial,share,0,2,0,0,0,0
2YW0Q5glttY,,,,20120603,AR,commercial,share,0,1,0.00155,0,0,0.000627
2YW0Q5glttY,,,,20120603,NL,commercial,share,0,1,0.00155,0,0,0.000627
2YW0Q5glttY,,,,20120604,ES,commercial,share,0,3,0.00447,0,0,0.00181
2YW0Q5glttY,,,,20120607,ES,commercial,share,0,1,0.00139,0,0,0.000562
2YW0Q5glttY,,,,20120609,ES,commercial,share,1,1,0.00135,0,0,0.000546
2YW0Q5glttY,,,,20120610,ES,commercial,share,0,2,0.00266,0,0,0.001077
2YW0Q5glttY,,,,20120610,PT,commercial,free,1,0,0,0,0,0
2YW0Q5glttY,,,,20120611,ES,commercial,share,0,2,0.00274,0,0,0.001109
2YW0Q5glttY,,,,20120612,FR,commercial,share,0,1,0,0,0,0
2YW0Q5glttY,,,,20120612,US,commercial,share,0,2,0.0027,0,0,0.001458
2YW0Q5glttY,,,,20120616,ES,commercial,share,0,1,0.00217,0,0,0.000878
2YW0Q5glttY,,,,20120616,MX,commercial,share,0,1,0,0,0,0
2YW0Q5glttY,,,,20120616,US,commercial,share,0,3,0,0,0,0
2YW0Q5glttY,,,,20120618,AR,commercial,share,0,1,0,0,0,0
2YW0Q5glttY,,,,20120618,ES,commercial,share,0,11,0,0,0,0
2YW0Q5glttY,,,,20120618,IQ,commercial,free,0,2,0,0,0,0
2YW0Q5glttY,,,,20120619,ES,commercial,share,0,1,0.00148,0,0,0.000599
2YW0Q5glttY,,,,20120619,IL,commercial,share,0,2,0,0,0,0
2YW0Q5glttY,,,,20120619,MX,commercial,share,0,2,0,0,0,0
2YW0Q5glttY,,,,20120620,AU,commercial,share,0,1,0,0,0,0
2YW0Q5glttY,,,,20120620,AW,commercial,free,0,1,0,0,0,0
2YW0Q5glttY,,,,20120620,BR,commercial,share,0,2,0,0,0,0
2YW0Q5glttY,,,,20120620,CA,commercial,share,0,1,0,0,0,0
2YW0Q5glttY,,,,20120620,CL,commercial,share,0,2,0,0,0,0
2YW0Q5glttY,,,,20120620,ES,commercial,share,0,9,0.00147,0,0,0.000595
2YW0Q5glttY,,,,20120620,FR,commercial,share,0,1,0,0,0,0
2YW0Q5glttY,,,,20120620,MX,commercial,share,0,2,0,0,0,0
2YW0Q5glttY,,,,20120621,BR,commercial,share,0,1,0,0,0,0
2YW0Q5glttY,,,,20120621,ES,commercial,share,0,3,0.00155,0,0,0.000627
2YW0Q5glttY,,,,20120622,ES,commercial,share,0,3,0.007849,0,0,0.003178
2YW0Q5glttY,,,,20120626,ES,commercial,share,1,0,0,0,0,0
5uu6B_5lV24,,,,20120601,ES,commercial,share,1,4,0.012133,0,0,0.004913
5uu6B_5lV24,,,,20120601,ZZ,commercial,free,0,1,0.00155,0,0,0.000627
5uu6B_5lV24,,,,20120602,GT,commercial,free,0,1,0,0,0,0
5uu6B_5lV24,,,,20120603,AR,commercial,share,0,1,0.00155,0,0,0.000627
5uu6B_5lV24,,,,20120603,ES,commercial,share,0,2,0.0031,0,0,0.001255
5uu6B_5lV24,,,,20120603,US,commercial,share,0,1,0,0,0,0
5uu6B_5lV24,,,,20120604,ES,commercial,share,0,3,0.00447,0,0,0.00181
5uu6B_5lV24,,,,20120605,ES,commercial,share,0,1,0.00143,0,0,0.000579
5uu6B_5lV24,,,,20120607,ES,commercial,share,0,4,0.00417,0,0,0.001688
5uu6B_5lV24,,,,20120608,CL,commercial,share,0,1,0.00135,0,0,0.000546
5uu6B_5lV24,,,,20120609,BR,commercial,share,0,1,0.00135,0,0,0.000546
5uu6B_5lV24,,,,20120610,ES,commercial,share,0,2,0.00266,0,0,0.001077
5uu6B_5lV24,,,,20120610,FR,commercial,share,0,2,0.00266,0,0,0.001077
5uu6B_5lV24,,,,20120610,PE,commercial,share,0,1,0.00133,0,0,0.000538
5uu6B_5lV24,,,,20120611,AM,commercial,free,0,1,0,0,0,0
5uu6B_5lV24,,,,20120611,ES,commercial,share,0,2,0.00274,0,0,0.001109
5uu6B_5lV24,,,,20120611,SV,commercial,free,0,1,0,0,0,0
5uu6B_5lV24,,,,20120613,ES,commercial,share,0,1,0.00358,0,0,0.001449
5uu6B_5lV24,,,,20120614,EC,commercial,free,0,1,0,0,0,0
5uu6B_5lV24,,,,20120614,IT,commercial,share,0,0,0.0024,0,0,0.000972
5uu6B_5lV24,,,,20120616,ES,commercial,share,0,1,0.00217,0,0,0.000878
5uu6B_5lV24,,,,20120617,AE,commercial,free,0,1,0,0,0,0
5uu6B_5lV24,,,,20120618,ES,commercial,share,1,1,0,0,0,0
5uu6B_5lV24,,,,20120619,CO,commercial,share,0,1,0.00148,0,0,0.000599
5uu6B_5lV24,,,,20120619,ES,commercial,share,0,3,0.00444,0,0,0.001798
5uu6B_5lV24,,,,20120620,ES,commercial,share,0,2,0.00294,0,0,0.00119
5uu6B_5lV24,,,,20120620,MX,commercial,share,0,1,0,0,0,0
5uu6B_5lV24,,,,20120621,ES,commercial,share,0,2,0.00155,0,0,0.000627
5uu6B_5lV24,,,,20120621,IL,commercial,share,0,1,0,0,0,0
